Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score
100,The Poisonwood Bible,Barbara Kingsolver,4.10,"756,980","First published September 24, 1998"," is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it -- from garden seeds to Scripture -- is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa.","28,622",546,Paperback,"290,019"
99,The Old Man and the Sea,Ernest Hemingway,3.80,"1,190,344","First published September 1, 1952","This short novel, already a modern classic, is the superbly told, tragic story of a Cuban fisherman in the Gulf Stream and the giant Marlin he kills and loses—specifically referred to in the citation accompanying the author's Nobel Prize for literature in 1954.","42,145",96,Hardcover,"292,472"
97,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.02,"605,251","First published April 12, 1976","This is the story of Louis, as told in his own words, of his journey through mortal and immortal life. Louis recounts how he became a vampire at the hands of the radiant and sinister Lestat and how he became indoctrinated, unwillingly, into the vampire way of life. His story ebbs and flows through the streets of New Orleans, defining crucial moments such as his discovery of the exquisite lost young child Claudia, wanting not to hurt but to comfort her with the last breaths of humanity he has inside. Yet, he makes Claudia a vampire, trapping her womanly passion, will, and intelligence inside the body of a small child. Louis and Claudia form a seemingly unbreakable alliance and even ""settle down"" for a while in the opulent French Quarter. Louis remembers Claudia's struggle to understand herself and the hatred they both have for Lestat that sends them halfway across the world to seek others of their kind. Louis and Claudia are desperate to find somewhere they belong, to find others who understand, and someone who knows what and why they are.","17,714",346,Paperback,"299,541"
98,Don Quixote,Miguel de Cervantes Saavedra,3.90,"280,462","First published January 1, 1605","Don Quixote has become so entranced by reading chivalric romances that he determines to become a knight-errant himself. In the company of his faithful squire, Sancho Panza, his exploits blossom in all sorts of wonderful ways. While Quixote's fancy often leads him astray—he tilts at windmills, imagining them to be giants—Sancho acquires cunning and a certain sagacity. Sane madman and wise fool, they roam the world together, and together they have haunted readers' imaginations for nearly four hundred years.","12,663",1023,Paperback,"296,906"
95,"Angela’s Ashes (Frank McCourt, #1)",frank-mccourt,4.15,"637,505","First published September 5, 1996",Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.,"14,609",452,Paperback,"305,764"
96,The Complete Stories and Poems,Edgar Allan Poe,4.40,"279,572","First published November 1, 1849","This single volume brings together all of Poe's stories and poems, and illuminates the diverse and multifaceted genius of one of the greatest and most influential figures in American literary history.","3,320",821,Hardcover,"304,231"
94,Siddhartha,Hermann Hesse,4.07,"795,626","First published October 1, 1922","Herman Hesse's classic novel has delighted, inspired, and influenced generations of readers, writers, and thinkers. In this story of a wealthy Indian Brahmin who casts off a life of privilege to seek spiritual fulfillment. Hesse synthesizes disparate philosophies--Eastern religions, Jungian archetypes, Western individualism--into a unique vision of life as expressed through one man's search for true meaning.","28,671",152,Mass Market Paperback,"310,464"
91,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.02,"1,550,794","First published July 1, 1995","Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.","28,433",399,Hardcover,"315,676"
93,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,"656,184","First published August 16, 2007","Lissa Dragomir is a Moroi princess: a mortal vampire with a rare gift for harnessing the earth's magic. She must be protected at all times from Strigoi; the fiercest vampires—the ones who never die. The powerful blend of human and vampire blood that flows through Rose Hathaway, Lissa's best friend, makes her a dhampir. Rose is dedicated to a dangerous life of protecting Lissa from the Strigoi, who are hell-bent on making Lissa one of them.","27,117",332,Paperback,"311,506"
90,It,Stephen         King,4.24,"1,151,746","First published September 15, 1986","Welcome to Derry, Maine ...","37,557",1116,Paperback,"316,918"
